City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,kodiak,57.79,-152.4072,38.71,87,100,8.05,US,1675193515
1,hualmay,-11.0964,-77.6139,76.15,70,100,8.41,PE,1675193711
2,cape town,-33.9258,18.4232,70.88,79,75,18.41,ZA,1675193223
3,puerto ayora,-0.7393,-90.3518,84.16,90,65,4.0,EC,1675193533
4,hilo,19.7297,-155.09,77.29,86,40,5.75,US,1675193504
5,lagoa,39.05,-27.9833,56.73,68,89,12.71,PT,1675193417
6,oistins,13.0667,-59.5333,80.69,65,40,16.11,BB,1675193712
7,provideniya,64.3833,-173.3,15.42,100,68,2.17,RU,1675193579
8,lebu,-37.6167,-73.65,61.61,66,0,18.66,CL,1675193522
9,padang,-0.9492,100.3543,75.25,89,100,4.63,ID,1675193713
10,chumikan,54.7183,135.315,-15.61,88,49,19.51,RU,1675193713
11,dikson,73.5069,80.5464,-4.25,93,98,8.72,RU,1675193556
12,hermanus,-34.4187,19.2345,68.81,84,22,9.66,ZA,1675193503
13,cherskiy,68.75,161.3,-2.49,98,100,4.41,RU,1675193535
14,atuona,-9.8,-139.0333,78.87,74,95,23.31,PF,1675193505
15,ampanihy,-24.7,44.75,67.87,76,2,13.62,MG,1675193714
16,saldanha,-33.0117,17.9442,64.45,96,22,17.67,ZA,1675193574
17,los llanos de aridane,28.6585,-17.9182,58.75,75,75,10.36,ES,1675193673
18,pirovskoye,57.6267,92.2658,9.81,97,100,3.69,RU,1675193715
19,kapaa,22.0752,-159.319,72.12,94,0,4.61,US,1675193522
20,butaritari,3.0707,172.7902,80.1,78,43,19.35,KI,1675193518
21,ostrovnoy,68.0531,39.5131,25.43,92,97,6.8,RU,1675193594
22,kruisfontein,-34.0033,24.7314,67.98,96,12,5.5,ZA,1675193647
23,shingu,33.7333,135.9833,36.21,71,2,5.79,JP,1675193653
24,ushuaia,-54.8,-68.3,56.86,54,75,13.8,AR,1675193504
25,mendi,-6.1761,143.6513,56.44,95,99,2.21,PG,1675193716
26,nikolskoye,59.7035,30.7861,30.09,95,100,7.09,RU,1675193518
27,tautira,-17.7333,-149.15,80.58,76,25,15.28,PF,1675193534
28,albany,42.6001,-73.9662,30.16,57,99,1.99,US,1675193229
